,id,property_title,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,nr_reviews_past_year,avail_month,price_range
20972,52551120,Large Studio in the heart of LES #8,289122184,Karen,Manhattan,Lower East Side,40.72107,-73.99284,Entire home/apt,160.0,30,11,10,323,4,oct-dec,Mid-range product
20975,52551973,Artist Loft 1 Bedroom Apt LES #2,289122184,Karen,Manhattan,Lower East Side,40.72125,-73.99319,Entire home/apt,176.0,30,10,10,346,6,oct-dec,Mid-range product
20978,52552429,Lower East Side Studio Escape #4,289122184,Karen,Manhattan,Lower East Side,40.72273,-73.99108,Entire home/apt,136.0,30,3,10,335,2,oct-dec,Mid-range product
20979,52552638,Lovely 3 Bedroom Apartment in LES #6,289122184,Karen,Manhattan,Lower East Side,40.72067,-73.99202,Entire home/apt,200.0,30,5,10,218,2,jul-sep,Mid-range product
21015,52553725,Midtown/Hell’s Kitchen Modern Apartment,240504372,Sueheddy,Manhattan,Hell's Kitchen,40.76121,-73.98882,Entire home/apt,135.0,30,9,2,278,4,oct-dec,Mid-range product
21016,52554380,Spacious and Lovely One Bedroom,68995107,Yeun-Ah,Manhattan,Harlem,40.8081,-73.94708,Private room,127.0,1,165,1,210,75,jul-sep,Mid-range product
21017,52555884,"Dearest Nana’s Cozy Space in Brooklyn, NY",287828338,Percival,Brooklyn,East New York,40.65675,-73.87807,Entire home/apt,86.0,30,81,1,149,8,apr-jun,Low-range product
21018,52557630,Adorable 2 Bedroom with Free Parking on Premises,407864820,Sherma,Brooklyn,Canarsie,40.6449,-73.88996,Entire home/apt,122.0,30,5,1,334,0,oct-dec,Mid-range product
21019,52557797,SABA/SGU Residents/Students Housing near Brookdale,27741331,Lyn,Brooklyn,East Flatbush,40.65468,-73.91939,Private room,48.0,30,2,6,69,0,jan-mar,Low-range product
21020,52558166,Newly-Renovated Bushwick Studio Apartment,190095485,Shawn,Brooklyn,Bushwick,40.6965,-73.90967,Entire home/apt,175.0,30,0,1,174,0,apr-jun,Mid-range product
21021,52561467,Lovely bedroom with fireplace,425430914,Lukasz,Brooklyn,Williamsburg,40.71678,-73.95756,Entire home/apt,120.0,30,28,1,309,0,oct-dec,Mid-range product
21022,52562444,A place to noodle,4361706,Kristoffer,Brooklyn,Greenpoint,40.73219982043139,-73.95582178548277,Private room,208.0,30,0,1,269,0,jul-sep,Mid-range product
21023,52562594,Classic Private Room #485 E,305240193,Elena,Brooklyn,Flatbush,40.64789,-73.96792,Private room,62.0,30,0,351,1,0,jan-mar,Low-range product
21028,52570585,Cozy apartment in a private community,224047081,Brooklyn,Brooklyn,Sea Gate,40.58057,-74.00604,Entire home/apt,119.0,30,15,15,155,1,apr-jun,Mid-range product
21029,52570981,Modern luxury condo in Times Square!,47139786,Maria,Manhattan,Theater District,40.75946,-73.98762,Private room,750.0,30,225,1,90,33,apr-jun,High range
21030,52578551,Peaceful Greenpoint,32946808,Christopher,Brooklyn,Greenpoint,40.73011,-73.95697,Private room,166.0,1,81,2,55,24,jan-mar,Mid-range product
21031,52578913,La Casita de Doña Lourdes/1BR/1 Guests,423535172,Justa,Brooklyn,Cypress Hills,40.68649,-73.87627,Entire home/apt,99.0,30,68,1,326,14,oct-dec,Mid-range product
21032,52578966,Cozy 2 bedroom apartment with hotel-like features,425584890,Myriam,Brooklyn,East New York,40.67555,-73.88711,Entire home/apt,145.0,30,59,1,364,7,oct-dec,Mid-range product
21033,52582634,Modern 3Bd Apartment - 20 Min to Manhattan,418115272,Billy,Queens,Bayside,40.77013,-73.76992,Entire home/apt,175.0,30,26,3,342,2,oct-dec,Mid-range product
21037,52585129,Beautiful private room with all amenities!!!,42076010,Adekunle,Staten Island,Mariners Harbor,40.63856,-74.16957,Private room,79.0,2,33,1,334,16,oct-dec,Low-range product
21038,52586060,Professionals Respite,425654579,Carmen,Brooklyn,East Flatbush,40.64201210069786,-73.9262043037871,Private room,40.0,31,0,2,219,0,jul-sep,Low-range product
21039,52586577,Beautiful View Private Room!.,125408735,Ferhat,Brooklyn,Manhattan Beach,40.58151035632298,-73.95341659297002,Private room,60.0,30,52,4,45,2,jan-mar,Low-range product
21043,52593299,3 Private Rooms with Private Entrance,124797,Lenin,Brooklyn,Park Slope,40.68186,-73.97733,Private room,200.0,30,1,2,200,0,jul-sep,Mid-range product
21044,52593554,Bright and Open Private Suite,2473527,Kathryn,Brooklyn,Bedford-Stuyvesant,40.68993,-73.93678,Entire home/apt,190.0,2,189,1,14,42,jan-mar,Mid-range product
