,id,property_title,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,nr_reviews_past_year,avail_month,price_range
1,5136,Spacious Family Friendly Duplex w/ Patio + Yard,7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,215.0,30,4,1,71,1,jan-mar,Mid-range product
2,6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,81.0,30,193,1,193,3,jul-sep,Low-range product
3,6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65.0,30,1,2,365,0,oct-dec,Low-range product
4,6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,65.0,30,247,1,212,2,jul-sep,Low-range product
6,7097,"Perfect for Your Parents, With Garden & Patio",17571,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,205.0,2,374,2,219,36,jul-sep,Mid-range product
7,7801,Sunny Williamsburg Loft with Sauna,21207,Chaya,Brooklyn,Williamsburg,40.718807220458984,-73.9561767578125,Entire home/apt,290.0,30,12,1,219,2,jul-sep,High range
8,8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.684555843449075,-73.93963415175676,Entire home/apt,170.0,30,190,2,215,7,jul-sep,Mid-range product
9,9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175.0,30,58,1,281,0,oct-dec,Mid-range product
10,10452,Wonderful B&B Style room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90.0,30,80,6,189,3,jul-sep,Mid-range product
12,12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,73.0,30,316,2,61,13,jan-mar,Low-range product
13,12937,"1 Stop to Midtown! Private Bedroom, Landmark House",50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,185.0,3,405,1,105,38,apr-jun,Mid-range product
14,12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,120.0,30,76,1,279,1,oct-dec,Mid-range product
15,13808,Writer’s Room for 2 in Brownstone- $1545 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68064,-73.94039,Private room,136.0,30,204,4,282,10,oct-dec,Mid-range product
16,14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,115.0,30,178,1,278,2,oct-dec,Mid-range product
17,15341,*24h-Doorman Elevator 1 Bedroom Bright Condo*,60049,Ted,Manhattan,Lower East Side,40.721359,-73.993668,Entire home/apt,231.0,30,37,1,54,2,jan-mar,Mid-range product
18,15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,96.0,30,58,1,214,5,jul-sep,Mid-range product
20,16580,"Sunny, Modern room in East Village w City Views",64442,Reka,Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,135.0,2,576,2,122,68,apr-jun,Mid-range product
21,16821,Charming Room in Amazing East Village Apt. (B),4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,129.0,1,204,2,42,21,jan-mar,Mid-range product
22,16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300.0,30,291,1,258,6,jul-sep,High range
23,17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,230.0,30,54,1,103,1,apr-jun,Mid-range product
24,18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76967,-73.94831,Private room,500.0,30,147,1,365,0,oct-dec,High range
25,18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,146.0,30,247,1,275,6,oct-dec,Mid-range product
27,19174,DUPLEX TERRACE in CHELSEA,73164,Alexis,Manhattan,West Village,40.73917,-74.00207,Entire home/apt,200.0,30,67,1,215,0,jul-sep,Mid-range product
28,19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65437,-73.96278,Private room,110.0,30,16,1,51,0,jan-mar,Mid-range product
29,19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105.0,30,59,1,284,0,oct-dec,Mid-range product
32,21794,COZY QUIET monthly room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85.0,30,36,2,324,0,oct-dec,Low-range product
33,23135,House On Henry - Private 1 bedroom with shared use,11481,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Private room,200.0,30,317,4,345,6,oct-dec,Mid-range product
35,23686,private West Village design townhouse,93790,Ann,Manhattan,West Village,40.72961,-74.00308,Entire home/apt,450.0,30,57,2,178,0,apr-jun,High range
36,24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,97797,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,220.0,30,91,1,49,1,jan-mar,Mid-range product
38,26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,90.0,30,479,3,36,0,jan-mar,Mid-range product
39,27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100.0,30,25,1,0,0,jan-mar,Mid-range product
40,28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150.0,30,19,1,155,0,apr-jun,Mid-range product
41,29013,Gorgeous Private Room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,90.0,30,73,6,174,2,apr-jun,Mid-range product
42,29628,"Comfortable, Sunny Room",127608,Christopher,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,107.0,3,417,1,206,49,jul-sep,Mid-range product
43,31130,Entire apartment _Most central location!,117287,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,Entire home/apt,200.0,30,75,3,315,2,oct-dec,Mid-range product
46,31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,121.0,2,584,2,291,40,oct-dec,Mid-range product
49,34760,"Sunny Room, Historical Brooklyn Brownstone 30-days",149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97378,Private room,76.0,30,35,3,241,5,jul-sep,Low-range product
50,36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,40.67376,-73.96611,Private room,200.0,90,9,1,362,0,oct-dec,Mid-range product
51,36647,"1 Bedroom & your own Bathroom, Elevator Apartment",157798,Irene,Manhattan,East Harlem,40.79245376586914,-73.94074249267578,Private room,85.0,30,102,1,0,12,jan-mar,Low-range product
52,38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Private room,900.0,30,43,1,365,2,oct-dec,High range
53,38833,Spectacular West Harlem Garden Apt,166532,Matthew,Manhattan,Harlem,40.8180576,-73.9466707,Private room,248.0,3,217,1,64,51,jan-mar,Mid-range product
54,39282,“Work-from-home” from OUR home.,168525,Gustavo,Brooklyn,Williamsburg,40.71065139770508,-73.95087432861328,Private room,154.0,4,265,2,19,10,jan-mar,Mid-range product
55,39572,1 br in a 2 br apt (Midtown West),169927,Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139.0,30,44,2,365,0,oct-dec,Mid-range product
56,39593,A lovely room w/ a Manhattan view,110506,Myung,Queens,Sunnyside,40.74523,-73.92318,Private room,78.0,90,33,1,184,3,jul-sep,Low-range product
58,42300,Beautiful Lower East Side Loft,184755,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,750.0,30,69,1,10,0,jan-mar,High range
59,42729,House On Henry - Private 2nd bedroom w/shared use,11481,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,Private room,185.0,30,220,4,364,6,oct-dec,Mid-range product
60,43105,Studio 3 blocks from Empire State Building,188082,Thomas,Manhattan,Midtown,40.7449,-73.98499,Entire home/apt,170.0,30,4,1,185,0,jul-sep,Mid-range product
61,44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,110.0,30,232,2,365,0,oct-dec,Mid-range product
62,44973,Creative South Williamsburg Studio,198411,Anastasia,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,98.0,30,124,1,182,0,jul-sep,Mid-range product
64,45737,Amazing West Village Apt,203444,Dana,Manhattan,West Village,40.73948,-74.00504,Private room,73.0,30,29,1,42,1,jan-mar,Low-range product
65,45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,500.0,30,13,9,365,0,oct-dec,High range
66,45935,Room in Beautiful Townhouse.,204586,L,Bronx,Mott Haven,40.80635,-73.92201,Private room,60.0,30,0,1,83,0,jan-mar,Low-range product
67,45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,75.0,31,133,2,125,0,apr-jun,Low-range product
69,46911,Large Room pr/h Br/St in Park Slope,210746,Kathleen R,Brooklyn,Park Slope,40.68009896425498,-73.9746189673198,Private room,100.0,30,70,3,308,1,oct-dec,Mid-range product
70,49048,Serene Private Room w own bathroom,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,Private room,95.0,30,27,6,215,2,jul-sep,Mid-range product
72,52689,"Private, sunny two-bedroom near subway & shops",244071,Litza,Queens,Ditmars Steinway,40.77868,-73.90652,Private room,191.0,4,85,1,46,16,jan-mar,Mid-range product
73,53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,40.71567,-73.87842,Entire home/apt,130.0,30,33,9,365,0,oct-dec,Mid-range product
74,53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,40.70422,-73.89778,Entire home/apt,248.0,30,5,9,365,0,oct-dec,Mid-range product
75,53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,40.71778,-73.87714,Entire home/apt,350.0,30,16,9,342,0,oct-dec,High range
76,54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,40.80255,-73.95803,Private room,200.0,30,0,1,365,0,oct-dec,Mid-range product
77,54508,S/Rm Br/st  PSlope great for  Med/Stu,210746,Kathleen R,Brooklyn,Park Slope,40.6789595110935,-73.97409474641334,Private room,116.0,4,176,3,238,14,jul-sep,Mid-range product
78,54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,40.81182,-73.94631,Entire home/apt,130.0,30,143,4,59,13,jan-mar,Mid-range product
80,54860,Bedroom in my apartment with a private bathroom.,258164,Jenny,Manhattan,East Harlem,40.79934,-73.94236,Private room,125.0,30,302,1,329,14,oct-dec,Mid-range product
81,55959,Work From Our Home w/ Loft,168525,Gustavo,Brooklyn,Williamsburg,40.71065,-73.95087,Private room,157.0,4,107,2,34,7,jan-mar,Mid-range product
83,56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,40.81201,-73.94452,Private room,79.0,30,272,4,89,6,jan-mar,Low-range product
84,57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,40.772472,-73.906075,Entire home/apt,116.0,30,163,1,247,25,jul-sep,Mid-range product
85,57297,"Clean & cozy 1BR in Cobble Hill, GREAT location!",199392,S.M.,Brooklyn,Brooklyn Heights,40.69003,-73.99338,Private room,269.0,30,295,1,99,9,apr-jun,High range
87,57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,East Harlem,40.80747,-73.94076,Entire home/apt,116.0,30,388,2,289,15,oct-dec,Mid-range product
88,58059,Traveling Nurses and Medical Professionals,277379,Agnes,Manhattan,Harlem,40.8238,-73.94444,Private room,46.0,30,682,2,297,12,oct-dec,Low-range product
89,59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,40.71946,-73.98641,Entire home/apt,150.0,30,60,1,246,0,jul-sep,Mid-range product
90,59121,Convenient 3BR w/6 beds!!,204539,Mark,Queens,Ridgewood,40.70271,-73.8993,Entire home/apt,262.0,30,4,9,330,0,oct-dec,High range
95,60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,40.81006,-73.94559,Private room,89.0,30,283,4,47,11,jan-mar,Mid-range product
97,60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,Mich,Manhattan,East Village,40.72598,-73.97978,Entire home/apt,150.0,30,166,6,308,1,oct-dec,Mid-range product
99,61406,Great room in great location,297176,Bethania,Manhattan,Harlem,40.80371,-73.95635,Private room,65.0,60,1,2,179,0,apr-jun,Low-range product
101,62925,Beautiful Landmarked Duplex,306739,Maya,Brooklyn,Greenpoint,40.72967,-73.95352,Entire home/apt,285.0,30,172,2,180,5,apr-jun,High range
102,63588,LL3,295128,Carol Gloria,Bronx,Clason Point,40.81161,-73.85499,Private room,89.0,30,0,6,15,0,jan-mar,Mid-range product
103,63610,Dominique's mini guest suite* Metro* Wi-Fi* Cosy,310670,Violet,Bronx,Eastchester,40.881,-73.83511,Entire home/apt,114.0,30,57,7,358,1,oct-dec,Mid-range product
106,64314,cozy bedroom in lovely garden apt,314256,Debbie,Brooklyn,Crown Heights,40.67634,-73.95143,Private room,100.0,30,46,1,216,0,jul-sep,Mid-range product
107,64365,Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,40.67579,-73.95072,Private room,65.0,30,255,2,275,2,oct-dec,Low-range product
109,65660,Bright+Spacious Williamsburg Abode!,320538,Larissa,Brooklyn,Williamsburg,40.70797,-73.94792,Entire home/apt,130.0,30,165,2,53,0,jan-mar,Mid-range product
110,66008,CHARMING CARROLL GARDENS APT.,322884,Melissa,Brooklyn,Carroll Gardens,40.68028,-73.99328,Entire home/apt,190.0,30,68,1,338,0,oct-dec,Mid-range product
111,66251,East Village Loft with Piano & Patio,324460,Samir,Manhattan,East Village,40.72547,-73.98619,Entire home/apt,349.0,30,169,1,106,7,apr-jun,High range
112,66275,Lower East Side Magic Apartment Entire Apartment!!,314941,Tony,Manhattan,Nolita,40.72036,-73.99435,Entire home/apt,103.0,30,211,2,356,0,oct-dec,Mid-range product
113,66974,"Lovely, Modern, Garden Apartment",329436,Jana,Brooklyn,Gowanus,40.68088,-73.99102,Entire home/apt,220.0,30,245,2,307,17,oct-dec,Mid-range product
114,67299,Cozy Garden Apartment  in Williamsburg,330347,Adrienne,Brooklyn,Williamsburg,40.71516,-73.96448,Entire home/apt,158.0,30,80,1,90,4,apr-jun,Mid-range product
116,68735,Prewar Penthouse w Private Terrace,342054,Violetta,Manhattan,Upper West Side,40.78846,-73.97459,Entire home/apt,225.0,30,38,1,269,2,jul-sep,Mid-range product
118,69894,"Nice renovated apt, prime location!",352168,Silvia,Manhattan,Upper West Side,40.77845,-73.98295,Entire home/apt,160.0,30,64,1,45,1,jan-mar,Mid-range product
119,71248,Bright and lovely 1-bdrm LES apt w/ balcony,363834,Jennifer,Manhattan,Chinatown,40.7159,-73.99156,Entire home/apt,165.0,30,69,2,49,4,jan-mar,Mid-range product
120,71366,Beautiful One Bed West Village - Monthy Special,364955,Ruperto,Manhattan,Greenwich Village,40.72997,-74.00196,Entire home/apt,200.0,30,53,1,236,6,jul-sep,Mid-range product
123,74333,Sunny Alcove Studio w/Patio & high ceilings,331328,Amir,Manhattan,East Harlem,40.80834,-73.94075,Entire home/apt,70.0,30,38,2,321,0,oct-dec,Low-range product
124,74680,One Bedroom Mini studio - Free WIFI,265109,Nazleen,Queens,Astoria,40.77507,-73.93367,Private room,124.0,30,268,1,355,9,oct-dec,Mid-range product
126,75635,Bright Cozy Chinatown Studio Apt.,401696,Patricia,Manhattan,Lower East Side,40.71911,-73.98588,Entire home/apt,120.0,30,419,1,270,20,jul-sep,Mid-range product
127,75658,Modern Bed Stuy loft + rooftop garden,401921,Noemi,Brooklyn,Bedford-Stuyvesant,40.695588790857855,-73.95461923691613,Private room,221.0,30,20,1,364,0,oct-dec,Mid-range product
129,79067,3 Bdr/2ba Brownstone w/Garden. Stunning!,425506,Bliss,Brooklyn,Clinton Hill,40.68337,-73.96253,Entire home/apt,350.0,48,11,1,230,0,jul-sep,High range
130,80493,Cozy room in East Village with AC,434987,Jennifer,Manhattan,East Village,40.7226132,-73.9854593,Private room,70.0,30,233,1,254,6,jul-sep,Low-range product
133,81564,"One bedroom in Corona,Qns, NYC",442605,Julieta,Queens,Jackson Heights,40.75054,-73.86222,Private room,49.0,30,112,1,334,0,oct-dec,Low-range product
135,82638,"Charming Artist's Flat, East Village",449787,Sarah,Manhattan,East Village,40.72408,-73.98154,Entire home/apt,150.0,30,282,1,337,3,oct-dec,Mid-range product
136,82928,BEAUTIFUL 2 BEDROOM APARTMENT,451545,Ruthven,Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,165.0,30,81,1,270,5,jul-sep,Mid-range product
137,83243,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,453519,Julian,Brooklyn,Bushwick,40.68769,-73.91788,Entire home/apt,77.0,30,249,1,352,2,oct-dec,Low-range product
138,83474,NY Mag & Budget Travel love us!,260682,Matthew,Brooklyn,Downtown Brooklyn,40.69132,-73.98573,Private room,184.0,30,5,1,354,0,oct-dec,Mid-range product
139,84010,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,275.0,1,34,29,129,8,apr-jun,High range
140,89427,The Brooklyn Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Entire home/apt,800.0,30,0,3,358,0,oct-dec,High range
141,93313,"Maison de sirenes 2, bohemian, ecclectic apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.684569430603325,-73.93840021354636,Entire home/apt,165.0,30,173,2,204,13,jul-sep,Mid-range product
142,94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,Keishera,Brooklyn,Crown Heights,40.6736,-73.9551,Entire home/apt,140.0,30,150,1,280,6,oct-dec,Mid-range product
143,96471,"The Brooklyn Waverly, One Bedroom",116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,171.0,30,11,3,364,0,oct-dec,Mid-range product
144,98663,Groovy NYC Chelsea Pad,520279,Peter Michael,Manhattan,Chelsea,40.75077,-73.99657,Entire home/apt,150.0,30,18,1,307,0,oct-dec,Mid-range product
145,100002,"MANHATTAN Cozy, Neat, Nice, Bright ROOM",523218,Giorgio,Manhattan,Washington Heights,40.85433,-73.9324,Private room,62.0,30,150,1,173,0,apr-jun,Low-range product
147,100368,Greenwich Village Brownstone -- Huge Private Deck,526105,Scott,Manhattan,West Village,40.736945460110306,-73.99847316741945,Entire home/apt,279.0,30,39,1,251,2,jul-sep,High range
150,103555,Clean&Serene in Scenic Fort Greene,220001,Gordon,Brooklyn,Fort Greene,40.693047,-73.971985,Entire home/apt,325.0,30,286,1,0,4,jan-mar,High range
151,105469,surf/stay regular,547386,Michelle,Queens,Rockaway Beach,40.58603,-73.8145,Private room,114.0,30,16,1,90,0,apr-jun,Mid-range product
152,106363,Bright Room With A Great River View,551055,Alicia,Manhattan,Harlem,40.82772,-73.95284,Private room,78.0,30,470,1,270,8,jul-sep,Low-range product
153,107630,Sweet Historic Greenpoint Duplex,306739,Maya,Brooklyn,Greenpoint,40.72741,-73.95466,Entire home/apt,175.0,30,353,2,90,13,apr-jun,Mid-range product
155,112435,ALL ABOUT A VERY COMFORTABLE ROOM..,181376,Carol,Brooklyn,Fort Greene,40.69132,-73.97306,Private room,95.0,30,178,2,365,1,oct-dec,Mid-range product
156,113265,Brooklyn- Crown Heights Garden Apt.,314582,Anthony,Brooklyn,Crown Heights,40.67582,-73.9518,Private room,60.0,30,274,2,313,1,oct-dec,Low-range product
157,115535,Sun-Drenched Hamilton Hts Jewel,567187,Jane,Manhattan,Harlem,40.82402,-73.95263,Private room,65.0,30,34,1,279,0,oct-dec,Low-range product
158,115748,1 BDRM Apt-Weekend Sublease,585166,Lilly,Queens,Astoria,40.76406,-73.92266,Entire home/apt,110.0,30,41,1,88,1,jan-mar,Mid-range product
159,116551,Beautiful Harlem Studio Apartment - private access,497672,Cynthia And  Charlie,Manhattan,Harlem,40.80384,-73.95123,Entire home/apt,85.0,30,180,1,182,6,jul-sep,Low-range product
160,118061,Style in Stuyvesant Heights,2248897,Roberta,Brooklyn,Bedford-Stuyvesant,40.68462,-73.92895,Entire home/apt,130.0,30,92,1,275,2,oct-dec,Mid-range product
161,121687,Spacious Brooklyn Loft,262812,Vikram,Brooklyn,Williamsburg,40.71983,-73.95992,Entire home/apt,200.0,30,57,1,160,0,apr-jun,Mid-range product
162,125163,Authentic New York City Living,622855,Desmond,Brooklyn,Bedford-Stuyvesant,40.68595,-73.92923,Entire home/apt,100.0,30,94,2,319,15,oct-dec,Mid-range product
164,133025,Midtown cozy convenient,653405,Tracy,Manhattan,Murray Hill,40.74564,-73.97782,Private room,70.0,30,145,1,274,0,oct-dec,Low-range product
166,135465,Garden apartment close to Manhattan,663879,Christopher,Brooklyn,Fort Greene,40.68646,-73.97548,Entire home/apt,170.0,30,134,1,304,4,oct-dec,Mid-range product
167,136493,Historical space with exceptional light & art,663384,Irena,Brooklyn,Park Slope,40.67497,-73.97796,Private room,275.0,4,42,1,63,6,jan-mar,High range
169,141335,Architect's Brownstone,687361,Orna,Brooklyn,Park Slope,40.67487,-73.97637,Private room,900.0,30,41,2,315,0,oct-dec,High range
171,144087,LUXURY OF THE HORIZON,616825,Rinaldo & Jessa,Manhattan,Harlem,40.80687,-73.95333,Entire home/apt,499.0,30,30,2,365,0,oct-dec,High range
173,146726,Cozy authentic residence near Central Park,709334,Julie,Manhattan,Harlem,40.80392,-73.94765,Entire home/apt,175.0,30,18,1,260,0,jul-sep,Mid-range product
175,148259,Garage Studio - Unique Designer Loft,716064,Mihalis,Brooklyn,Williamsburg,40.71345,-73.94289,Entire home/apt,350.0,30,114,1,364,11,oct-dec,High range
176,148825,Best City Area Columbia U Upper West Side C Park,718349,Alan,Manhattan,Upper West Side,40.79999,-73.96338,Entire home/apt,107.0,30,308,2,255,15,jul-sep,Mid-range product
177,150804,Colorful 2+ Bedroom Apt. on NYC's Lower East Side,726333,Peter,Manhattan,Lower East Side,40.7203,-73.98424,Private room,375.0,4,67,1,230,21,jul-sep,High range
180,152263,Cozy private room and bathroom in a Brownstone,732535,William,Manhattan,Harlem,40.80493,-73.94999,Private room,250.0,3,357,2,116,19,apr-jun,Mid-range product
182,157673,Large  Loft Style  Studio  Space,757166,Tokunbo,Brooklyn,Bedford-Stuyvesant,40.68096,-73.94062,Entire home/apt,65.0,30,92,1,277,0,oct-dec,Low-range product
183,158061,Hancock Town House!-Stuyvesant Mews,758441,Fred,Brooklyn,Bedford-Stuyvesant,40.68511,-73.91927,Private room,165.0,30,27,4,365,0,oct-dec,Mid-range product
184,159749,Music Room for 2 in brownstone- $1650 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68048,-73.93938,Private room,120.0,30,76,4,185,0,jul-sep,Mid-range product
185,159815,The Art Room for two in Brownstone for $1500 mo,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68048,-73.93938,Private room,106.0,30,63,4,182,1,jul-sep,Mid-range product
186,162493,Prime Williamsburg 3 BR with Deck,776490,Andres,Brooklyn,Williamsburg,40.71174,-73.95798,Private room,457.0,31,56,1,140,3,apr-jun,High range
187,166006,Nice Manhattan Apt Near Central Park and Subway,791287,Giancarlo,Manhattan,Upper West Side,40.79864,-73.96209,Entire home/apt,240.0,31,187,1,20,1,jan-mar,Mid-range product
190,168123,"Brooklyn- sunny, quiet, homelike-Park Slope South",720558,Sara,Brooklyn,Windsor Terrace,40.65891,-73.98556,Entire home/apt,125.0,30,123,1,157,5,apr-jun,Mid-range product
191,169483,Very close to Downtown Awesome Private Apartment,807642,Jeffrey,Brooklyn,Gravesend,40.60602,-73.97076,Entire home/apt,236.0,30,0,2,0,0,jan-mar,Mid-range product
193,170761,"Fort Greene, Brooklyn: Front Bedroom",67778,Douglas,Brooklyn,Fort Greene,40.68877615321917,-73.97762359693657,Private room,98.0,2,229,2,137,65,apr-jun,Mid-range product
194,171562,Chelsea studio with balcony & views,60923,Omri,Manhattan,Chelsea,40.74937,-73.99467,Entire home/apt,230.0,60,32,1,86,2,jan-mar,Mid-range product
197,176135,Cosy Sunny 1brm in Prospect Heights,842125,Jenna,Brooklyn,Crown Heights,40.67545,-73.96096,Entire home/apt,115.0,30,31,1,71,0,jan-mar,Mid-range product
199,177606,Spacious Private Jr. One Bedroom Near NYU Hospital,849492,Kathrine,Manhattan,Kips Bay,40.74045,-73.9749,Entire home/apt,150.0,30,128,1,293,4,oct-dec,Mid-range product
200,179670,High-end doorman bldg in the LES,21475,Milind,Manhattan,East Village,40.72113,-73.98213,Private room,175.0,30,128,1,87,0,jan-mar,Mid-range product
201,179741,Spring st SoHo Apartment,314941,Tony,Manhattan,Nolita,40.72212,-73.99638,Entire home/apt,202.0,30,19,2,110,0,apr-jun,Mid-range product
202,182069,Cozy studio Apartment in Upper East,39260,Mat,Manhattan,East Harlem,40.78923,-73.946,Entire home/apt,135.0,30,125,1,356,3,oct-dec,Mid-range product
203,182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,Bronx,Allerton,40.86502,-73.85496,Entire home/apt,225.0,60,347,2,365,5,oct-dec,Mid-range product
207,189135,Hell's Kitchen Funky 80s Hideaway!,179020,Michael,Manhattan,Hell's Kitchen,40.76263,-73.99401,Private room,174.0,2,162,1,81,37,jan-mar,Mid-range product
211,190974,Beautiful Grdn. Apt. in Park Slope,874471,Alan,Brooklyn,Park Slope,40.66836,-73.98166,Entire home/apt,130.0,30,313,1,333,16,oct-dec,Mid-range product
212,191610,Presence Guest Room - Chelsea NYC,927028,Tony,Manhattan,Chelsea,40.74697296939259,-74.00178397023312,Private room,144.0,2,139,1,60,21,jan-mar,Mid-range product
213,195123,"Cheerful, comfortable room",940724,Susan,Manhattan,Washington Heights,40.83338,-73.94326,Private room,75.0,30,229,1,365,0,oct-dec,Low-range product
214,195240,Covid Clean since '11!,949221,Dennis,Brooklyn,Flatbush,40.65468,-73.95721,Private room,60.0,30,90,1,88,0,jan-mar,Low-range product
215,195989,"Sunny, Large, Park Slope Bedroom",611716,Elizabeth,Brooklyn,Park Slope,40.6767158,-73.9818207,Private room,105.0,3,230,1,0,3,jan-mar,Mid-range product
216,197942,"Cozy, Private, Comfy Brooklyn, close to Manhattan",289135,Toni,Brooklyn,Bedford-Stuyvesant,40.6836,-73.95445,Entire home/apt,220.0,30,255,1,256,8,jul-sep,Mid-range product
217,199733,Solo Travelers Private Garden XL Studio,241559,Demi,Brooklyn,Crown Heights,40.67635,-73.96108,Entire home/apt,110.0,30,132,1,253,4,jul-sep,Mid-range product
219,201992,Serene Park Slope Garden Apartment,988350,Andrea,Brooklyn,Park Slope,40.67466,-73.97853,Entire home/apt,190.0,30,106,1,306,0,oct-dec,Mid-range product
222,204065,St. James Place 1.5-2bdrm 1block to PRATT & Gtrain,51038,Erica,Brooklyn,Clinton Hill,40.687,-73.96149,Entire home/apt,398.0,30,112,2,315,2,oct-dec,High range
